,Date,AQI,Sample_Duration,Pollutant_Type
540,1992-06-05,14,24 HOUR,81102
541,1992-06-11,18,24 HOUR,81102
542,1992-06-17,7,24 HOUR,81102
543,1992-06-23,16,24 HOUR,81102
544,1992-06-29,13,24 HOUR,81102
545,1992-07-05,12,24 HOUR,81102
546,1992-07-11,12,24 HOUR,81102
547,1992-07-17,16,24 HOUR,81102
548,1992-07-23,15,24 HOUR,81102
549,1992-07-29,17,24 HOUR,81102
550,1992-08-04,19,24 HOUR,81102
551,1992-08-10,24,24 HOUR,81102
552,1992-08-16,23,24 HOUR,81102
553,1992-08-22,11,24 HOUR,81102
554,1992-08-28,14,24 HOUR,81102
555,1992-09-03,23,24 HOUR,81102
556,1992-09-09,18,24 HOUR,81102
557,1992-09-15,19,24 HOUR,81102
558,1992-09-21,12,24 HOUR,81102
559,1992-09-27,14,24 HOUR,81102
560,1992-10-03,30,24 HOUR,81102
561,1992-10-09,8,24 HOUR,81102
562,1992-10-15,13,24 HOUR,81102
563,1992-10-21,21,24 HOUR,81102
564,1992-10-27,14,24 HOUR,81102
565,1992-11-02,7,24 HOUR,81102
566,1992-11-08,19,24 HOUR,81102
567,1992-11-14,11,24 HOUR,81102
568,1992-12-08,7,24 HOUR,81102
569,1992-12-14,11,24 HOUR,81102
570,1992-12-20,20,24 HOUR,81102
571,1992-12-26,12,24 HOUR,81102
572,1993-01-01,28,24 HOUR,81102
573,1993-01-07,13,24 HOUR,81102
574,1993-01-13,19,24 HOUR,81102
575,1993-01-19,21,24 HOUR,81102
576,1993-01-25,8,24 HOUR,81102
577,1993-01-31,15,24 HOUR,81102
578,1993-02-06,16,24 HOUR,81102
579,1993-02-12,8,24 HOUR,81102
580,1993-02-18,23,24 HOUR,81102
581,1993-02-24,19,24 HOUR,81102
582,1993-03-02,11,24 HOUR,81102
583,1993-03-08,10,24 HOUR,81102
584,1993-03-14,8,24 HOUR,81102
585,1993-03-20,17,24 HOUR,81102
586,1993-03-26,33,24 HOUR,81102
587,1993-04-01,17,24 HOUR,81102
588,1993-04-07,6,24 HOUR,81102
589,1993-04-13,5,24 HOUR,81102
590,1993-04-19,6,24 HOUR,81102
591,1993-04-25,6,24 HOUR,81102
592,1993-05-01,7,24 HOUR,81102
593,1993-05-07,6,24 HOUR,81102
594,1993-05-13,19,24 HOUR,81102
595,1993-05-19,9,24 HOUR,81102
596,1993-05-25,15,24 HOUR,81102
597,1993-05-31,10,24 HOUR,81102
598,1993-06-06,19,24 HOUR,81102
599,1993-06-12,18,24 HOUR,81102
600,1993-06-18,1,24 HOUR,81102
601,1993-06-24,13,24 HOUR,81102
602,1993-06-30,17,24 HOUR,81102
603,1993-07-06,19,24 HOUR,81102
604,1993-07-12,19,24 HOUR,81102
605,1993-07-18,13,24 HOUR,81102
606,1993-07-24,7,24 HOUR,81102
607,1993-07-30,20,24 HOUR,81102
608,1993-08-05,7,24 HOUR,81102
609,1993-08-11,13,24 HOUR,81102
610,1993-08-17,20,24 HOUR,81102
611,1993-09-10,29,24 HOUR,81102
612,1993-09-16,15,24 HOUR,81102
613,1993-09-28,16,24 HOUR,81102
614,1993-10-04,22,24 HOUR,81102
615,1993-10-10,11,24 HOUR,81102
616,1993-10-16,8,24 HOUR,81102
617,1993-10-22,15,24 HOUR,81102
618,1993-10-28,10,24 HOUR,81102
619,1993-11-03,18,24 HOUR,81102
620,1993-11-09,26,24 HOUR,81102
621,1993-11-15,17,24 HOUR,81102
622,1993-11-21,12,24 HOUR,81102
623,1993-11-27,11,24 HOUR,81102
624,1993-12-03,10,24 HOUR,81102
625,1993-12-09,13,24 HOUR,81102
626,1993-12-15,15,24 HOUR,81102
627,1993-12-21,7,24 HOUR,81102
628,1993-12-27,7,24 HOUR,81102
629,1994-01-02,4,24 HOUR,81102
630,1994-01-08,19,24 HOUR,81102
631,1994-01-14,6,24 HOUR,81102
632,1994-01-20,20,24 HOUR,81102
633,1994-02-01,8,24 HOUR,81102
634,1994-02-07,26,24 HOUR,81102
635,1994-02-13,6,24 HOUR,81102
636,1994-02-19,11,24 HOUR,81102
637,1994-02-25,14,24 HOUR,81102
638,1994-03-03,13,24 HOUR,81102
639,1994-03-09,10,24 HOUR,81102
640,1994-03-15,19,24 HOUR,81102
641,1994-04-02,14,24 HOUR,81102
642,1994-04-08,7,24 HOUR,81102
643,1994-04-20,23,24 HOUR,81102
644,1994-04-26,8,24 HOUR,81102
645,1994-05-02,17,24 HOUR,81102
646,1994-05-08,13,24 HOUR,81102
647,1994-05-14,17,24 HOUR,81102
648,1994-05-20,18,24 HOUR,81102
649,1994-05-26,18,24 HOUR,81102
650,1994-06-01,12,24 HOUR,81102
651,1994-06-07,22,24 HOUR,81102
652,1994-06-13,32,24 HOUR,81102
653,1994-06-19,18,24 HOUR,81102
654,1994-06-25,19,24 HOUR,81102
655,1994-07-01,31,24 HOUR,81102
656,1994-07-07,6,24 HOUR,81102
657,1994-07-13,13,24 HOUR,81102
658,1994-07-19,18,24 HOUR,81102
659,1994-07-25,15,24 HOUR,81102
